N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.4,56,32,171
1000.0,2.0,0.4,57,34,38
1000.0,2.0,0.4,58,30,74
1000.0,2.0,0.4,59,38,27
1000.0,2.0,0.4,60,45,282
1000.0,2.0,0.4,61,39,153
1000.0,2.0,0.4,62,42,56
1000.0,2.0,0.4,63,35,48
1000.0,2.0,0.4,64,41,53
1000.0,2.0,0.4,65,33,112
1000.0,2.0,0.4,66,38,50
1000.0,2.0,0.4,67,38,20
1000.0,2.0,0.4,68,36,22
1000.0,2.0,0.4,69,34,20
1000.0,2.0,0.4,70,40,35
1000.0,2.0,0.4,71,39,30
1000.0,2.0,0.4,72,38,74
1000.0,2.0,0.4,73,38,56
1000.0,2.0,0.4,74,43,44
1000.0,2.0,0.4,75,39,27
1000.0,2.0,0.4,76,37,31
1000.0,2.0,0.4,77,32,37
1000.0,2.0,0.4,78,38,42
1000.0,2.0,0.4,79,41,42
1000.0,2.0,0.4,80,29,28
1000.0,2.0,0.4,81,45,301
1000.0,2.0,0.4,82,46,52
1000.0,2.0,0.4,83,31,42
1000.0,2.0,0.4,84,24,20
1000.0,2.0,0.4,85,42,65
1000.0,2.0,0.4,86,44,76
1000.0,2.0,0.4,87,35,90
1000.0,2.0,0.4,88,37,116
1000.0,2.0,0.4,89,37,24
1000.0,2.0,0.4,90,31,54
1000.0,2.0,0.4,91,40,78
1000.0,2.0,0.4,92,46,145
1000.0,2.0,0.4,93,39,57
1000.0,2.0,0.4,94,37,35
1000.0,2.0,0.4,95,31,122
1000.0,2.0,0.4,96,34,21
1000.0,2.0,0.4,97,41,47
1000.0,2.0,0.4,98,37,26
1000.0,2.0,0.4,99,42,27
1000.0,2.0,0.5,0,45,92
1000.0,2.0,0.5,1,48,56
1000.0,2.0,0.5,2,38,140
1000.0,2.0,0.5,3,47,120
1000.0,2.0,0.5,4,44,49
1000.0,2.0,0.5,5,46,35
1000.0,2.0,0.5,6,46,27
1000.0,2.0,0.5,7,51,48
1000.0,2.0,0.5,8,58,93
1000.0,2.0,0.5,9,49,57
1000.0,2.0,0.5,10,47,113
1000.0,2.0,0.5,11,46,44
1000.0,2.0,0.5,12,42,47
1000.0,2.0,0.5,13,54,78
1000.0,2.0,0.5,14,47,44
1000.0,2.0,0.5,15,50,92
1000.0,2.0,0.5,16,22,13
1000.0,2.0,0.5,17,49,128
1000.0,2.0,0.5,18,49,54
1000.0,2.0,0.5,19,53,85
1000.0,2.0,0.5,20,51,50
1000.0,2.0,0.5,21,47,36
1000.0,2.0,0.5,22,44,118
1000.0,2.0,0.5,23,43,64
1000.0,2.0,0.5,24,28,87
1000.0,2.0,0.5,25,51,44
1000.0,2.0,0.5,26,40,48
1000.0,2.0,0.5,27,48,113
1000.0,2.0,0.5,28,53,44
1000.0,2.0,0.5,29,46,28
1000.0,2.0,0.5,30,38,29
1000.0,2.0,0.5,31,37,98
1000.0,2.0,0.5,32,50,125
1000.0,2.0,0.5,33,55,53
1000.0,2.0,0.5,34,49,29
1000.0,2.0,0.5,35,50,48
1000.0,2.0,0.5,36,38,82
1000.0,2.0,0.5,37,34,19
1000.0,2.0,0.5,38,55,34
1000.0,2.0,0.5,39,51,34
1000.0,2.0,0.5,40,50,63
1000.0,2.0,0.5,41,53,115
1000.0,2.0,0.5,42,48,29
1000.0,2.0,0.5,43,49,69
1000.0,2.0,0.5,44,48,35
1000.0,2.0,0.5,45,31,27
1000.0,2.0,0.5,46,50,26
1000.0,2.0,0.5,47,49,51
1000.0,2.0,0.5,48,53,31
1000.0,2.0,0.5,49,52,162
1000.0,2.0,0.5,50,44,53
1000.0,2.0,0.5,51,48,117
1000.0,2.0,0.5,52,38,33
1000.0,2.0,0.5,53,53,59
1000.0,2.0,0.5,54,41,208
1000.0,2.0,0.5,55,48,69
1000.0,2.0,0.5,56,45,27
1000.0,2.0,0.5,57,45,40
1000.0,2.0,0.5,58,49,59
1000.0,2.0,0.5,59,34,22
1000.0,2.0,0.5,60,56,48
1000.0,2.0,0.5,61,43,24
1000.0,2.0,0.5,62,48,99
1000.0,2.0,0.5,63,49,83
1000.0,2.0,0.5,64,39,22
1000.0,2.0,0.5,65,45,39
1000.0,2.0,0.5,66,45,25
1000.0,2.0,0.5,67,36,32
1000.0,2.0,0.5,68,49,53
1000.0,2.0,0.5,69,45,35
1000.0,2.0,0.5,70,52,89
1000.0,2.0,0.5,71,41,120
1000.0,2.0,0.5,72,42,27
1000.0,2.0,0.5,73,53,145
1000.0,2.0,0.5,74,43,29
1000.0,2.0,0.5,75,48,60
1000.0,2.0,0.5,76,45,25
1000.0,2.0,0.5,77,48,50
1000.0,2.0,0.5,78,52,126
1000.0,2.0,0.5,79,40,135
1000.0,2.0,0.5,80,47,59
1000.0,2.0,0.5,81,53,62
1000.0,2.0,0.5,82,46,55
1000.0,2.0,0.5,83,42,37
1000.0,2.0,0.5,84,55,154
1000.0,2.0,0.5,85,51,37
1000.0,2.0,0.5,86,49,68
1000.0,2.0,0.5,87,39,33
1000.0,2.0,0.5,88,36,51
1000.0,2.0,0.5,89,47,87
1000.0,2.0,0.5,90,45,35
1000.0,2.0,0.5,91,38,24
1000.0,2.0,0.5,92,34,26
1000.0,2.0,0.5,93,51,23
1000.0,2.0,0.5,94,30,50
1000.0,2.0,0.5,95,56,28
1000.0,2.0,0.5,96,47,43
1000.0,2.0,0.5,97,35,48
1000.0,2.0,0.5,98,55,33
1000.0,2.0,0.5,99,36,21
1000.0,2.0,0.6,0,56,34
1000.0,2.0,0.6,1,42,23
1000.0,2.0,0.6,2,66,127
1000.0,2.0,0.6,3,42,54
1000.0,2.0,0.6,4,60,64
1000.0,2.0,0.6,5,57,43
1000.0,2.0,0.6,6,54,34
1000.0,2.0,0.6,7,64,42
1000.0,2.0,0.6,8,64,143
1000.0,2.0,0.6,9,52,57
1000.0,2.0,0.6,10,60,94
1000.0,2.0,0.6,11,61,224
1000.0,2.0,0.6,12,49,46
1000.0,2.0,0.6,13,55,22
1000.0,2.0,0.6,14,60,54
1000.0,2.0,0.6,15,42,22
1000.0,2.0,0.6,16,59,107
1000.0,2.0,0.6,17,56,70
1000.0,2.0,0.6,18,54,34
